EbNo(dB),ESN_uncoded,MMSE_uncoded,ESN_coded,MMSE_coded
0,0.39036279296875,0.3196171875,0.39208632101489244,0.31792608935466077
3,0.3569287109375,0.2523603515625,0.3587589630446773,0.25364864864864867
6,0.32307421875,0.185376953125,0.31658439051296194,0.17010479867622724
9,0.280861328125,0.12928955078125,0.27583563154991725,0.07085217870932156
12,0.24451416015625,0.07861474609375,0.24669746276889135,0.006144511858797573
15,0.20868408203125,0.05450439453125,0.20165057915057916,0.00016271373414230558
18,0.18600244140625,0.03449072265625,0.18246414782129067,0.0
21,0.16520703125,0.0270302734375,0.15070601213458357,0.0
24,0.15912158203125,0.02187158203125,0.14270270270270272,0.0
27,0.16198193359375,0.01991455078125,0.1349600110314396,0.0
30,0.15689892578125,0.0189169921875,0.1266891891891892,0.0
